,Unnamed: 0,Top ten entry date,Single,Artist(s),Peak,Peak date,Weeks in top ten,Spotify id
254,254,April 17,Asia Minor,Kokomo,8,April 17,1,0waFYJrUU6lLQkY8VuW7AO
255,255,April 17,A Hundred Pounds of Clay,Gene McDaniels,3,May 8,8,4s9qKAu0wMyIWVUB7Cuv3j
256,256,April 24,I've Told Every Little Star,Linda Scott,3,May 1,5,20ZuZkRAlin2pu9QlnNr42
257,257,April 24,You Can Depend on Me,Brenda Lee,6,May 8,4,6sEzDVlcfYn2akvtzUitrb
258,258,April 24,Take Good Care of Her,Adam Wade,7,May 1,4,0ZECxskUXBKacuppokT4dS
259,259,April 24,One Mint Julep,Ray Charles,8,May 1,3,73VDF3a8kAFE5KGpMwF8c5
260,260,May 8,Portrait of My Love,Steve Lawrence,9,May 8,1,6csU5EvfcRi2NNoOwNVg8A
261,261,May 15,Daddy's Home,Shep and the Limelites,2,May 29,4,2Vr3XMnJyu60xBUUchWUrI
262,262,May 15,Travelin' Man,Ricky Nelson,1,May 29,8,1sM0yZDxUhPQhkDh2CLd6l
263,263,May 15,Mama Said,The Shirelles,4,May 29,4,1SN5fcUZyWFktGbEoHdHOm
264,264,May 22,Running Scared,Roy Orbison,1,June 5,4,6sbj89WozjblBMa5u41orw
265,265,May 22,Breakin' in a Brand New Broken Heart,Connie Francis,7,May 29,3,4xNA2pJxLChxNS5YncIqCv
266,266,May 22,Hello Mary Lou,Ricky Nelson,9,May 22,1,6ImmlZj8ysK2jDnqqbKp60
267,267,May 29,I Feel So Bad,Elvis Presley,5,June 5,3,42X4AMue61nbWRF7VGIbSz
268,268,May 29,Tragedy,The Fleetwoods,10,May 29,1,64rqvMhAPLLEag310IG3z9
269,269,June 5,Stand by Me,Ben E. King,4,June 12,4,3SdTKo2uVsxFblQjpScoHy
270,270,June 5,Moody River,Pat Boone,1,June 19,6,2TEdI0KNrYHo4UPhrt0ais
271,271,June 5,Raindrops,Dee Clark,2,June 26,8,2UDYdo4rHhU7QcEo4BFfBd
272,272,June 12,The Writing on the Wall,Adam Wade,5,July 3,5,1o6omNVO7AFy6gj0Bg5jVP
273,273,June 12,Every Beat of My Heart,The Pips,6,July 10,6,75hgmQO2o2IUx0vgl0l54e
274,274,June 12,Quarter to Three,Gary U.S. Bonds,1,June 26,8,7aHn8rGeEGkDkQiUV0DpW1
275,275,June 12,The Boll Weevil Song,Brook Benton,2,July 10,8,5gCkto8RSjGPynLo3GjOk0
276,276,June 19,Tossin' and Turnin',Bobby Lewis,1,July 10,12,79s3pSe1u6ggQBEwVPm58Z
277,277,June 19,Those Oldies but Goodies (Remind Me of You),Little Caesar & the Romans,9,June 26,3,05xGj0TWWNfOF76CzY9woN
278,278,July 3,Yellow Bird,Arthur Lyman,4,July 24,5,6oye7upM8j0mE3xoT7FdjU
279,279,July 10,Hats Off to Larry,Del Shannon,5,July 31,5,0Eok7UwcfOhuNxBNnJzeHY
280,280,July 10,Dance on Little Girl,Paul Anka,10,July 10,1,7hicCfvTRlRjkrHYim5Gp4
281,281,July 17,San Antonio Rose,Floyd Cramer,8,July 17,1,0WnESCgrJ4XBxlsnHMECtl
282,282,July 17,I Like It Like That,Chris Kenner,2,July 31,7,5wIxMTfyrSEx4w1MxaM96c
283,283,July 17,Dum Dum,Brenda Lee,4,July 31,6,2amlWbDFBNfQyoHy7mIMnZ
284,284,July 24,Together,Connie Francis,6,August 7,4,13HKMX7AmDz9MpTIAMF8lu
285,285,July 24,Let's Twist Again,Chubby Checker,8,August 7,5,1INWPr855fwWdAOeecbu0W
286,286,July 31,Last Night,The Mar-Keys,3,August 7,5,3SUusuA9jH1v6PVwtYMbdv
287,287,August 7,Pretty Little Angel Eyes,Curtis Lee,7,August 7,4,7nwsBDSDhzRq7XdnixgxXA
288,288,August 7,Wooden Heart (Muss i denn),Joe Dowell,1,August 28,7,N
289,289,August 7,Michael,The Highwaymen,1,September 4,9,4UeDMzA4XjmRpl1RHogDzx
290,290,August 14,School Is Out,Gary U.S. Bonds,5,September 4,4,01GarP7Iim3fsxASclkEFW
291,291,August 21,You Don't Know What You've Got (Until You Lose It),Ral Donner,4,September 4,4,7b5CaZGoxF5rth1jBITajb
292,292,August 28,Don't Bet Money Honey,Linda Scott,9,August 28,2,N
293,293,August 28,Hurt,Timi Yuro,4,September 11,3,6mqfq8EdYoV07TXM2rgPgb
294,294,September 4,Take Good Care of My Baby,Bobby Vee,1,September 18,7,06JokgprGDKrtZ1eP6z2CQ
295,295,September 4,My True Story,The Jive Five,3,September 11,4,1zfxyezgvocPSjSVup5ND4
296,296,September 4,As If I Didn't Know,Adam Wade,10,September 4,2,1iuqzWFef54rHgXdTDr6Ei
297,297,September 11,Does Your Chewing Gum Lose Its Flavor (on the Bedpost Overnight),Lonnie Donegan,5,September 25,4,3ZN9IdorvU1CxrZyEYfiXa
298,298,September 11,"Who Put the Bomp (in the Bomp, Bomp, Bomp)",Barry Mann,7,September 25,2,394TDMOmboEPfH2Jb15K8K
299,299,September 11,Little Sister,Elvis Presley,5,October 2,4,7KaSmr2Ha3p96JHwpHGSKu
300,300,September 18,(Marie's the Name) His Latest Flame,Elvis Presley,4,September 18,2,4qbLOU1T7xgTH87eUSkvJ1
301,301,September 18,Crying,Roy Orbison,2,October 9,5,6eLL7QTdMWdhhG4i3jHDR9
302,302,September 18,Without You,Johnny Tillotson,7,September 18,2,1j37APtfR9AjRqAzBwrAxI
303,303,September 18,One Track Mind,Bobby Lewis,9,September 18,1,6VFtCu4u6NeANjWZO131Sl
304,304,September 18,When We Get Married,The Dreamlovers,10,September 18,1,577wJybDQlVQ4qrT8nogLk
305,305,September 25,The Mountain's High,Dick and Dee Dee,2,September 25,3,0YVlMTY2kaQc2fxu2ezlI6
306,306,October 2,Hit the Road Jack,Ray Charles,1,October 9,8,5dUMh0ugelpKfoFp3qChuK
307,307,October 2,Mexico,Bob Moore,7,October 2,3,0lfB0XQhJLHjDM8A4lKQBp
308,308,October 2,You Must Have Been a Beautiful Baby,Bobby Darin,5,October 16,3,3V4IuFiE3GnWuRnuV8dkFO
309,309,October 2,Bristol Stomp,The Dovells,2,October 23,9,0B1cm1Z7J9v8Wug9idr8T6
310,310,October 9,Runaround Sue,Dion,1,October 23,9,1DndHckdH9m5rp6gYP086b
311,311,October 9,Let's Get Together,Hayley Mills,8,October 23,3,6IOnUNpll37ONAgshDwa5B
312,312,October 16,Sad Movies (Make Me Cry),Sue Thompson,5,October 23,5,5PYEBQrRHWoMuRr5Ers9vR
313,313,October 16,Big Bad John,Jimmy Dean,1,November 6,10,61uAY9xdzYiIbYJ07XvKso
314,314,October 16,Ya Ya,Lee Dorsey,7,October 30,3,4TJduXYW1Pg96EDNnfiwxJ
315,315,October 23,This Time,Troy Shondell,6,October 23,6,4dfn4XrQIUAgUU96Ag1Ref
316,316,October 23,I Love How You Love Me,The Paris Sisters,5,October 30,3,2Ghp894n1laIf2w98VeAOJ
317,317,October 23,The Fly,Chubby Checker,7,November 13,5,63u1aZPkSplzbIdyHGpvrG
318,318,November 6,Fool #1,Brenda Lee,3,November 13,5,N
319,319,November 6,Tower of Strength,Gene McDaniels,5,November 13,5,5kxBWHsXHQKiu8LjoNf2n2
320,320,November 13,Please Mr. Postman,The Marvelettes,1,December 11,7,6jX5mso4x00c1EiNMrTU9U
321,321,November 20,Goodbye Cruel World,James Darren,3,December 4,7,2zaXKQ2IErjfIGGES2ai6C
322,322,November 27,Heartaches,The Marcels,7,November 27,1,5K4Dl7nz6NSUONT4fl4sJV
323,323,November 27,Crazy,Patsy Cline,9,November 27,2,3zpj9dvJABiyMrmLCPw6i8
324,324,December 4,Walk on By,Leroy Van Dyke,5,December 11,8,1Y6THdMlU9Cr4lgnUAR09L
325,325,December 4,I Understand (Just How You Feel),The G-Clefs,9,December 4,1,2cqBR0FuG3DWjwnurXUFdK
326,326,December 11,The Lion Sleeps Tonight,The Tokens,1,December 18,8,2F4FNcz68howQWD4zaGJSi
327,327,December 11,Run to Him,Bobby Vee,2,December 25,6,1QhVLyrR1If5e5i7TA8xwh
328,328,December 11,Tonight,Ferrante & Teicher,8,December 11,1,7BvqRkfYFFzDAnNd1eyB0e
329,329,December 11,Let There Be Drums,Sandy Nelson,7,December 18,3,0nf1kn9Nt1WeQyOinNadKz
330,330,December 4,The Twist,Chubby Checker,1,January 13,13,4YCnTYbq3oL1Lqpyxg33CU
331,331,December 11,"Happy Birthday, Sweet Sixteen",Neil Sedaka,6,January 6,6,5ttys6S3vGWCgOpiuB5axN
332,332,December 18,Peppermint Twist - Part 1,Joey Dee and the Starliters,1,January 27,11,7hEoTDg1E31ZPnV78YGOqy
333,333,December 25,Can't Help Falling in Love,Elvis Presley,2,February 3,8,44AyOl4qVkzS48vBsbNXaC
334,334,January 6,When I Fall in Love,The Lettermen,7,January 27,3,1gMMY095TNREZ8ZZYsfM5L
335,335,January 6,Unchain My Heart,Ray Charles,9,January 13,2,5EpwOn2sBvXXKiwO68g7a1
336,336,January 13,I Know (You Don't Love Me No More),Barbara George,3,January 27,6,4IZBzpxPNFmKP7I6D3qVH6
337,337,January 13,When the Boy in Your Arms,Connie Francis,10,January 13,1,5edxDQC7eBbaz0hqkV8Y88
338,338,January 20,Norman,Sue Thompson,3,February 24,7,2Af6yE62PwymxZV0962qul
339,339,January 27,The Wanderer,Dion,2,February 24,7,3v8d3ku3kiTZVPxEt7a2dE
340,340,January 27,Baby It's You,The Shirelles,8,February 3,2,2mRg1R9LKzZJWRAtKVollf
341,341,February 3,Duke of Earl,Gene Chandler,1,February 17,8,6Hy22YDN9HJMRlJP1LwnJy
342,342,February 3,Break It to Me Gently,Brenda Lee,4,March 3,7,5JccvAiwcZ7n3urnXqWPsG
343,343,February 10,A Little Bitty Tear,Burl Ives,9,February 10,2,3XhTHMleuyoQCP8jxOeIhD
344,344,February 10,Dear Lady Twist,Gary U.S. Bonds,9,February 24,3,248Jb9TGzk3Rk0OaNtUGol
345,345,February 17,Crying in the Rain,The Everly Brothers,6,March 3,5,3lWuagNhAzcqOikD5KnBku
346,346,February 24,Hey! Baby,Bruce Channel,1,March 10,8,0obIo2GEab6qqms6t3JaMY
347,347,March 3,Midnight in Moscow,Kenny Ball and His Jazzmen,2,March 17,7,1FK2eVZehS2SzBjwrsQCI5
348,348,March 3,Chip Chip,Gene McDaniels,10,March 3,1,2jR191iAYxoIvtKs0PYCG8
349,349,March 10,Don't Break the Heart That Loves You,Connie Francis,1,March 31,6,2fAB9BufYdc9AJLE6BusXP
350,350,March 10,Let Me In,The Sensations,4,March 17,4,6RcsAN8XF5KX6mMh6dum8e
351,351,March 10,Her Royal Majesty,James Darren,6,March 17,3,1cPxnXUCio2zV6yE4pWZ25
352,352,March 10,What's Your Name,Don and Juan,7,March 17,4,4qKmW9c1Xif3F7rnE2gzHQ
353,353,March 17,Percolator (Twist),Billy Joe and the Checkmates,10,March 17,1,N
354,354,March 24,Dream Baby,Roy Orbison,4,March 31,3,2brxFq9YHrI4v6RGrocn5X
355,355,March 24,Slow Twistin',Chubby Checker,3,April 14,7,3nBXj1QTXhPDn1p1k8YBK4
356,356,March 24,Twistin' the Night Away,Sam Cooke,9,March 24,2,7FS541dJh3iQAEXEZoDhE6
357,357,March 31,Johnny Angel,Shelley Fabares,1,April 7,9,6XEW0P64pYXfD06e4oLcWz
358,358,March 31,Good Luck Charm,Elvis Presley,1,April 21,7,4a523vS6eCweMMW2t7vLCg
359,359,April 7,Young World,Rick Nelson,5,April 21,4,38XOEv37waF4pd8Ztmna7K
360,360,April 7,Love Letters,Ketty Lester,5,April 14,3,3DDV3CsZan0GcUVZAtvs7N
361,361,April 7,Mashed Potato Time,Dee Dee Sharp,2,May 5,9,6jouZcdraQvsbh7SWkLEui
362,362,April 14,Lover Please,Clyde McPhatter,7,April 21,4,6xAKCAHwaAvw9rlwAv3lkD
363,363,April 21,Soldier Boy,The Shirelles,1,May 5,8,4xlEKYv7HmC8zXoJIbpZKM
364,364,April 21,Shout,Joey Dee and the Starliters,6,May 5,4,0Spob6MdxXh11yOB8Ot29c
365,365,April 21,Stranger on the Shore,Mr. Acker Bilk,1,May 26,11,7dN03Lfh2xp5iGBhIQcAv5
366,366,April 28,"Twist, Twist Senora",Gary U.S. Bonds,9,May 12,3,1u7zJy4RUSXclRhswkA6RT
367,367,May 5,P.T. 109,Jimmy Dean,8,May 26,3,3vfNUZeVUiwWXwsEXjagqL
368,368,May 12,She Cried,Jay and the Americans,5,May 19,3,30vrWTWGHRF6mbyCiDMamO
369,369,May 12,Old Rivers,Walter Brennan,5,May 26,4,7xlYVBERqQ6r76euVrL9JS
370,370,May 12,Shout! Shout! (Knock Yourself Out),Ernie Maresca,6,May 19,3,5x6EGByCHCfGtVCwg1Z1PG
371,371,May 19,Everybody Loves Me But You,Brenda Lee,6,May 26,3,33aC0VE93PEf6dAqYOobRN
372,372,May 19,Funny Way of Laughin',Burl Ives,10,May 19,1,31hOSi7kPwklmRe1693BHm
373,373,May 26,I Can't Stop Loving You,Ray Charles,1,June 2,11,79nJj5dMyTsUzKvN5jUXsJ
374,374,May 26,Lovers Who Wander,Dion,3,June 9,4,3ApktgPHkNDBWaZCWvOKjK
375,375,June 2,The One Who Really Loves You,Mary Wells,8,June 9,3,4M732X5J2BE6M8VIHHfxMx
376,376,June 2,(The Man Who Shot) Liberty Valance,Gene Pitney,4,June 16,5,6J1O1XuGLW2Gge4emsHtHH
377,377,June 9,It Keeps Right on A-Hurtin',Johnny Tillotson,3,June 16,6,0fabZNPJqBJBfwzDxuKQTi
378,378,June 9,Second Hand Love,Connie Francis,7,June 9,3,2fAB9BufYdc9AJLE6BusXP
379,379,June 9,Palisades Park,Freddy Cannon,3,June 23,7,2qi7QEyfxL2Z2ez9Rd51e0
380,380,June 9,Playboy,The Marvelettes,7,June 23,5,5xP9lQYA8YQmQh6BOxcAnR
381,381,June 16,The Stripper,David Rose and His Orchestra,1,July 7,9,00vH2PsEQTGRyJYhyIyDbr
382,382,June 23,Cindy's Birthday,Johnny Crawford,8,June 23,2,3Id8znxIUtTYNhZsak8Unb
383,383,June 23,That's Old Fashioned,The Everly Brothers,9,June 23,1,6s1oemQxdwD68Riby81dw0
384,384,June 30,Roses Are Red (My Love),Bobby Vinton,1,July 14,10,5zw4SajQ2IKvjnSWXOSDrh
385,385,June 30,Al Di La,Emilio Pericoli,6,July 7,3,2EFuKrTmy6wCB9C7Bvyyia
386,386,July 7,Wolverton Mountain,Claude King,6,July 21,4,7GjmzKbriJewFNDPJtVjey
387,387,July 7,Snap Your Fingers,Joe Henderson,8,July 7,1,1SMW1Z5OrdgTLvI2X9mPMi
388,388,July 7,Johnny Get Angry,Joanie Sommers,7,July 21,2,1eBR9MdLUnRJRoNa3cpC92
389,389,July 14,The Wah-Watusi,The Orlons,2,July 21,6,1txHbsMQPOPqjigbBXTULL
390,390,July 14,Sealed with a Kiss,Brian Hyland,3,July 28,6,6oM4ryXpuZmbFfBv2sEe7v
391,391,July 14,Gravy (For My Mashed Potatoes),Dee Dee Sharp,9,July 14,3,2ZxzsmJ093WPTBbsoCf6CN
392,392,July 21,Speedy Gonzales,Pat Boone,6,July 28,5,3TmnUIbelFiDzrhZqavHU0
393,393,July 28,Breaking Up Is Hard to Do,Neil Sedaka,1,August 11,7,2x6pbpjVGjiWCcH89IK8AX
394,394,July 28,Ahab the Arab,Ray Stevens,5,August 4,5,2KLgLcpDBfZmGgGWvDIWOb
395,395,August 4,The Loco-Motion,Little Eva,1,August 25,7,1hClDWPgajpLIFjLOkFuau
396,396,August 4,Theme from Dr. Kildare (Three Stars Will Shine Tonight),Richard Chamberlain,10,August 4,1,0PfEuXdMQIMgUpbWZcMWd0
397,397,August 11,You'll Lose a Good Thing,Barbara Lynn,8,August 11,1,5CEREcGR5WaLt40YzTQ62e
398,398,August 11,Things,Bobby Darin,3,August 25,5,5hgei65n0pGJ9uUHo8v2en
399,399,August 18,You Don't Know Me,Ray Charles,2,September 8,5,6LahUh0U4umx6hDFfVWlGi
400,400,August 18,Little Diane,Dion,8,August 18,3,1UfGX3eL0ifA3gJSwWPMBi
401,401,August 25,Sheila,Tommy Roe,1,September 1,6,5Mzu8smN6fRBCaUaTytD1W
402,402,August 25,Party Lights,Claudine Clark,5,September 1,3,0Kb1OykZK7OYNqQ58KZ0rj
403,403,August 25,She's Not You,Elvis Presley,5,September 8,5,6rIO7NYAGzLavmQViqelcG
404,404,September 1,Vacation,Connie Francis,9,September 1,2,3zmZYAHzV6hz9XHrDB1phU
405,405,September 8,Ramblin' Rose,King,2,September 22,8,6bZlab0NrNteVppLu9C2Zy
406,406,September 8,Teen Age Idol,Rick Nelson,5,September 22,4,N
407,407,September 15,Sherry,The Four Seasons,1,September 15,7,7sqK6f8dHVx3Q1GjFrVyGl
408,408,September 15,Green Onions,Booker T. & the M.G.'s,3,September 29,6,4fQMGlCawbTkH9yPPZ49kP
409,409,September 15,Patches,Dickey Lee,6,October 6,7,4jmLzvN8QG9V7C06REIMpf
410,410,September 15,Rinky Dink,Baby,10,September 15,1,3mFdvJGQEZ4y8LaeJPu5Vl
411,411,September 22,Let's Dance,Chris Montez,4,October 6,5,2Qm5DrmotzWvqNM3JlcQYo
412,412,September 22,You Belong to Me,The Duprees,7,September 22,2,0v2lZeBtNvXOW3aXOuVVga
413,413,September 22,You Beat Me to the Punch,Mary Wells,9,September 22,2,4Sz8zFchpHQVQVqVyGz5Jb
414,414,September 29,Monster Mash,Boris,1,October 20,7,0xxZY5C9xxij3D1HkzbnfC
415,415,September 29,Alley Cat,Bent Fabric,7,September 29,3,13TeocCIAjDntodea6nSf0
416,416,October 6,Venus in Blue Jeans,Jimmy Clanton,7,October 6,1,7HgkQxxpt8CW8NqUVJF0Eh
417,417,October 6,I Remember You,Frank Ifield,5,October 13,4,7JO0jDBKdB5c1zgUhPMogF
418,418,October 13,Do You Love Me,The Contours,3,October 20,5,2Ghp894n1laIf2w98VeAOJ
419,419,October 13,If I Had a Hammer,"Peter, Paul and Mary",10,October 13,1,6R9LiK1WhfnTvFsVfusdQl
420,420,October 20,He's a Rebel,The Crystals,1,November 3,7,1QN5cKoYlEkJ4aMBfqDqXe
421,421,October 20,Only Love Can Break a Heart,Gene Pitney,2,November 3,4,5fYVHUBPfApPTrgwh831t2
422,422,October 27,All Alone Am I,Brenda Lee,3,November 10,7,4tMnrDxy7Vmv7HyK3ZTO2w
423,423,October 27,Gina,Johnny Mathis,6,November 17,5,3GA3PeOsy9cXqj4tRbPRS0
424,424,November 3,Big Girls Don't Cry,The Four Seasons,1,November 17,10,00meczE1jpLTX0BBzIGrAR
425,425,November 3,Limbo Rock,Chubby Checker,2,December 22,12,6FXjVsmKPW93LXRFYhfmmw
426,426,November 3,Next Door to an Angel,Neil Sedaka,5,November 17,5,7cceh0YGz9cbRPZ3haIgLZ
427,427,November 3,Return to Sender,Elvis Presley,2,November 17,10,3uwIoa2emQILz6BmH6MtiW
428,428,November 10,Popeye the Hitchhiker,Chubby Checker,10,November 10,1,1PDPPfQjRulZSbbIUcz5v1
429,429,November 17,Bobby's Girl,Marcie Blane,3,December 1,8,1Kv9Inxy8zPZCQ3RkoVMF5
430,430,November 17,Don't Hang Up,The Orlons,4,December 8,6,6WU8iaVVYHvuhwkowevC0V
431,431,November 17,The Cha-Cha-Cha,Bobby Rydell,10,November 17,1,4hObp5bmIJ3PP3cKA9K9GY
432,432,November 24,Ride!,Dee Dee Sharp,5,December 8,4,78032GHRcUBBCFxpRBQcnH
433,433,December 1,The Lonely Bull,The Tijuana Brass,6,December 8,3,5q3oGGjP28qdrC6lIf0hbR
434,434,December 8,Telstar,The Tornados,1,December 22,8,2rtaHm5SkgFzVa5Gr8oTW6
435,435,December 8,Release Me,Little Esther,8,December 22,4,4avwkAPh3EO69BRPEhsSZV
436,436,December 22,You Are My Sunshine,Ray Charles,7,December 29,2,1VCpk2RhA2ZYVnKEf6hMXg
437,437,December 22,Love Came to Me,Dion,10,December 22,1,1lSxosAXNmtgNBMZfFKSpB
438,438,December 15,Go Away Little Girl,Steve Lawrence,1,January 12,9,5ewcbH8HRUcbDD0UsXa9by
439,439,December 29,Hotel Happiness,Brook Benton,3,January 19,4,2hhYxAqLdr49NaNFuifPAa
440,440,December 29,Zip-a-Dee-Doo-Dah,Bob B. Soxx & the Blue Jeans,8,January 12,3,6YPsVqkhl1JIvZFhqSO5Qy
441,441,January 5,Tell Him,The Exciters,4,January 19,5,7rGOWzo4evAQQ2FzrSKp0B
442,442,January 5,Pepino the Italian Mouse,Lou Monte,5,January 12,3,4YZzhEfuPRYSAYXLWR2tWH
443,443,January 12,The Night Has a Thousand Eyes,Bobby Vee,3,February 2,6,7oeacNYuOm66e6QcIxsksw
444,444,January 12,My Dad,Paul Petersen,6,January 26,4,796Jqu9c6MQcJIG40jCmNd
445,445,January 12,Two Lovers,Mary Wells,7,January 19,4,00CmjeeHvAVKvx3tcIiZTy
446,446,January 19,Hey Paula,Paul & Paula,1,February 9,9,3kl9waNDdEv2BqDJBu9fuw
447,447,January 26,Walk Right In,The Rooftop Singers,1,January 26,7,4WhT2YADjcU58IUgroWZQZ
448,448,January 26,It's Up to You,Rick Nelson,6,February 2,2,5drU2n9bNbFX3eWzeRqKM8
449,449,February 2,Loop de Loop,Johnny Thunder,4,February 9,3,12KirOpUDcCAjySIfqxSng
450,450,February 2,Up on the Roof,The Drifters,5,February 9,3,7cNRqg0lbiqBaGeOlA4AEU
451,451,February 9,Walk Like a Man,The Four Seasons,1,March 2,7,4C76SOnBa9eQDwOwe11hPz
452,452,February 9,Ruby Baby,Dion,2,February 23,6,1EtQ8AIs2pHW6FwFvtYPd7
453,453,February 9,Rhythm of the Rain,The Cascades,3,March 9,9,0uEuAQ0c5yittMpxJ3l5iR
454,454,February 9,You've Really Got a Hold on Me,The Miracles,8,February 9,3,7wLRmjiDYI6flIVzboUqSV
455,455,February 16,From a Jack to a King,Ned Miller,6,February 16,3,4LbORCdCXrsyqIQZGZgRL7
456,456,February 23,You're the Reason I'm Living,Bobby Darin,3,March 16,7,2abbMU8rMqtxANb7kV5BmS
457,457,February 23,Blame It on the Bossa Nova,Eydie Gormé,7,March 2,5,1vOsIiq80fcYONCUEBbzHu
458,458,February 23,Wild Weekend,The Rebels,8,March 9,3,7d91GO9HafgZuRUA2NjLTj
459,459,March 2,What Will My Mary Say,Johnny Mathis,9,March 9,4,6zYmF5WIfsj6wU8l1cOFYH
460,460,March 9,Our Day Will Come,Ruby & the Romantics,1,March 23,6,3ngYXFSYtF5mHguNCA3JZ0
461,461,March 9,The End of the World,Skeeter Davis,2,March 23,6,5DTOOkooKFUvWj1XQTFa09
462,462,March 16,He's So Fine,The Chiffons,1,March 30,9,2Bs1Lw9LX8hBm70t1iGdlh
463,463,March 23,South Street,The Orlons,3,April 13,5,1xeELHKCyHzGXI7KCwk2Zc
464,464,March 23,In Dreams,Roy Orbison,7,March 30,3,44pN9jfSqY3d3lrKuv3QeN
465,465,March 30,Baby Workout,Jackie Wilson,5,April 13,5,2SnzwEu9uB9VGCx8Faj97j
466,466,March 30,Our Winter Love,Bill Pursell,9,March 30,1,66HiDLgn9SEfdfLPFHWxuZ
467,467,April 6,Can't Get Used to Losing You,Andy Williams,2,April 13,7,41zpWL98BsYKP5nvtdTM5z
468,468,April 6,Young Lovers,Paul & Paula,6,April 20,4,6FgEhgeJTWUUIuAqxEctZd
469,469,April 13,I Will Follow Him,Little Peggy March,1,April 27,8,7dFKoNC2k5qgbXrbcMCHQ0
470,470,April 13,"Puff, the Magic Dragon","Peter, Paul and Mary",2,May 11,6,3hqsBLMAqJqrhr434Z7WlA
471,471,April 13,Do the Bird,Dee Dee Sharp,10,April 13,2,6jouZcdraQvsbh7SWkLEui
472,472,April 20,Pipeline,The Chantays,4,May 4,5,3Wwy5wlxd8CpKMZGc4Mgjf
473,473,April 20,Don't Say Nothin' Bad (About My Baby),The Cookies,7,April 27,3,5NmxBy0K1UIkgQl5TgClL6
474,474,April 27,On Broadway,The Drifters,9,April 27,2,6uCmU6ldcsVpLAKNCojVg8
475,475,April 27,Watermelon Man,Mongo Santamaría,10,April 27,2,4oOxRYf9TBFKQxABhAQ96x
476,476,May 4,If You Wanna Be Happy,Jimmy Soul,1,May 18,6,7D97JnBT73FWUh9KmRvP9M
477,477,May 4,Surfin' U.S.A.,The Beach Boys,3,May 25,6,0wz1LjDb9ZNEYwOmDJ3Q4b
478,478,May 11,Foolish Little Girl,The Shirelles,4,May 25,3,5LtlI4DtIVgiKa4o7yURwE
479,479,May 11,Losing You,Brenda Lee,6,May 25,4,78HTdAIfx2UBmFWZN4s7A6
480,480,May 11,The Reverend Mr. Black,The Kingston Trio,8,May 18,2,5fQEqSNzAkdUhRrgxMd7iH
481,481,May 18,I Love You Because,Al Martino,3,June 1,6,5ggafYsNyKhTR9bISS3OPj
482,482,May 25,It's My Party,Lesley Gore,1,June 1,7,1Pq47iFLC5U7j8xeNiNcuS
483,483,May 25,Two Faces Have I,Lou Christie,6,June 1,3,1cpguRdD11njLNH2ZeWygE
484,484,May 25,Take These Chains from My Heart,Ray Charles,8,May 25,1,3FQWctzZxGRaIbzX6YDNPB
485,485,May 25,Another Saturday Night,Sam Cooke,10,May 25,1,5z8DiKSG4EwxmO6gUi12rZ
486,486,June 1,Sukiyaki,Kyu Sakamoto,1,June 15,8,6meIeOX3DHdaCnaNw67abE
487,487,June 1,Da Doo Ron Ron,The Crystals,3,June 8,4,0fonScmHUzC0MglSLn9saA
488,488,June 1,You Can't Sit Down,The Dovells,3,June 15,5,54sxFj01a5BELIOKHKx5Tm
489,489,June 8,Those Lazy-Hazy-Crazy Days of Summer,King,6,June 29,4,0ItlbY5mHDSYQd3SOgAlZu
490,490,June 8,Still,Bill Anderson,8,June 8,3,64UioB4Nmwgn2f4cbIpAkl
491,491,June 15,Blue on Blue,Bobby Vinton,3,July 6,5,4Nxid85fmQidPAY1ZD8Bo1
492,492,June 15,Hello Stranger,Barbara Lewis,3,June 22,5,7v8YDCoM60xCPuSbXerImD
493,493,June 15,Eighteen Yellow Roses,Bobby Darin,10,June 15,1,3cOBG6bm4NrCHTMHOWDr9P
494,494,June 22,One Fine Day,The Chiffons,5,July 13,4,6vcG9EgeqJUSmmF65lxUm6
495,495,June 29,Easier Said Than Done,The Essex,1,July 6,7,4zIeRcsaho6lZuaXEYR1y3
496,496,June 29,Surf City,Jan and Dean,1,July 20,7,1Oewmmr12xuhgzvUJ9Q0cf
497,497,June 29,Memphis,Lonnie Mack,5,July 20,5,5ci1SmCBwodTJrq5zeW4fp
498,498,July 6,So Much in Love,The Tymes,1,August 3,7,6h0LLmMVZY108wNzD5UM6O
499,499,July 6,"Tie Me Kangaroo Down, Sport",Rolf Harris,3,July 13,5,10maCTtDF9d49etMTnA45B
500,500,July 13,Wipe Out,The Surfaris,2,August 10,7,5E30LdtzQTGqRvNd7l6kG5
501,501,July 20,Fingertips - Part 2,Little Stevie Wonder,1,August 10,7,N
502,502,July 20,(You're the) Devil in Disguise,Elvis Presley,3,August 10,6,0D1pEisM3QkiacGXJe5dmd
503,503,July 20,Pride and Joy,Marvin Gaye,10,July 20,1,7yvOPcquZRqoIxk14gkaMk
504,504,July 27,Blowin' in the Wind,"Peter, Paul and Mary",2,August 17,7,62Yu8QL1g9pdbvN4XL9Rah
505,505,July 27,Just One Look,Doris Troy,10,July 27,2,154uJXAUVoqvV5on0w03a0
506,506,August 3,Judy's Turn to Cry,Lesley Gore,5,August 17,5,5Vb0SgInHwS0tq46dApdBY
507,507,August 10,Candy Girl,The Four Seasons,3,August 24,5,4AFLFG6pyvhBLC37FbDwc2
